Entity,latitude,longitude,1960Perc_Urban,1970Perc_Urban,1980Perc_Urban,1990Perc_Urban,2000Perc_Urban,2010Perc_Urban,2017Perc_Urban,,,,,,,,,,,,,,,,,,,,
Jamaica,18.11,-77.30,33.77,41.32,46.74,49.44,51.81,53.74,55.38,,,,,,,,,,,,,,,,,,,,
Japan,36.20,138.25,63.27,71.88,76.18,77.34,78.65,90.81,91.53,,,,,,,,,,,,,,,,,,,,
Jordan,30.59,36.24,50.88,55.97,60.03,73.29,78.27,86.09,90.75,,,,,,,,,,,,,,,,,,,,
Kazakhstan,48.02,66.92,44.20,50.24,54.14,56.27,56.10,56.83,57.34,,,,,,,,,,,,,,,,,,,,
Kenya,-0.02,37.91,7.36,10.29,15.58,16.75,19.89,23.57,26.56,,,,,,,,,,,,,,,,,,,,
Kiribati,-3.37,-168.73,16.29,24.09,32.28,34.99,42.96,47.39,53.26,,,,,,,,,,,,,,,,,,,,
Kuwait,29.31,47.48,74.89,85.66,94.78,97.97,99.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,41.20,74.77,34.18,37.47,38.63,37.78,35.30,35.31,36.13,,,,,,,,,,,,,,,,,,,,
Laos,19.86,102.50,7.95,9.62,12.38,15.44,21.98,30.06,34.37,,,,,,,,,,,,,,,,,,,,
Latvia,56.88,24.60,52.87,60.71,67.10,69.25,68.07,67.84,68.08,,,,,,,,,,,,,,,,,,,,
Lebanon,33.85,35.86,42.34,59.47,73.67,83.12,86.00,87.33,88.43,,,,,,,,,,,,,,,,,,,,
Lesotho,-29.61,28.23,3.51,8.61,11.45,13.97,19.55,24.80,27.73,,,,,,,,,,,,,,,,,,,,
Liberia,6.43,-9.43,18.63,26.03,35.17,55.42,44.33,47.81,50.70,,,,,,,,,,,,,,,,,,,,
Libya,26.34,17.23,27.32,49.67,70.09,75.72,76.39,78.05,79.82,,,,,,,,,,,,,,,,,,,,
Liechtenstein,47.17,9.56,20.44,18.45,18.27,16.93,15.13,14.46,14.32,,,,,,,,,,,,,,,,,,,,
Lithuania,55.17,23.88,39.46,49.56,61.16,67.58,66.99,66.76,67.52,,,,,,,,,,,,,,,,,,,,
Luxembourg,49.82,6.13,69.56,74.37,80.04,80.95,84.22,88.55,90.73,,,,,,,,,,,,,,,,,,,,
Macao,22.20,113.54,95.29,97.03,98.52,99.76,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Madagascar,-18.77,46.87,10.64,14.10,18.52,23.57,27.12,31.94,36.52,,,,,,,,,,,,,,,,,,,,
Malawi,-13.25,34.30,4.39,6.05,9.05,11.56,14.61,15.54,16.71,,,,,,,,,,,,,,,,,,,,
Malaysia,4.21,101.98,26.60,33.45,42.04,49.79,61.98,70.91,75.45,,,,,,,,,,,,,,,,,,,,
Maldives,3.20,73.22,11.17,11.89,22.25,25.84,27.71,36.43,39.38,,,,,,,,,,,,,,,,,,,,
Mali,17.57,-4.00,11.07,14.33,18.48,23.32,28.36,36.00,41.57,,,,,,,,,,,,,,,,,,,,
Malta,35.94,14.38,90.13,89.70,89.79,90.38,92.37,94.07,94.55,,,,,,,,,,,,,,,,,,,,
Marshall Islands,7.13,171.18,35.58,53.49,58.30,65.05,68.58,73.57,76.63,,,,,,,,,,,,,,,,,,,,
Mauritania,21.01,-10.94,6.88,14.56,27.37,39.32,38.09,46.59,52.82,,,,,,,,,,,,,,,,,,,,
Mauritius,-20.35,57.55,35.11,42.56,42.35,43.90,42.67,41.56,40.84,,,,,,,,,,,,,,,,,,,,
Mexico,23.63,-102.55,50.75,59.02,66.34,71.42,74.72,77.82,79.87,,,,,,,,,,,,,,,,,,,,
Micronesia (country),7.43,150.55,22.31,24.81,26.44,25.82,22.33,22.30,22.61,,,,,,,,,,,,,,,,,,,,
Moldova,47.41,28.37,23.42,32.07,40.39,46.76,44.59,42.62,42.56,,,,,,,,,,,,,,,,,,,,
Monaco,43.75,7.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Mongolia,46.86,103.85,35.68,45.05,52.08,57.03,57.13,67.57,68.36,,,,,,,,,,,,,,,,,,,,
Montenegro,42.71,19.37,18.79,26.85,36.81,48.04,58.54,64.14,66.48,,,,,,,,,,,,,,,,,,,,
Morocco,31.79,-7.09,29.36,34.48,41.21,48.39,53.33,58.02,61.91,,,,,,,,,,,,,,,,,,,,
Mozambique,-18.67,35.53,6.87,8.99,13.16,25.00,29.10,31.83,35.45,,,,,,,,,,,,,,,,,,,,
